Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	18.5
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	5.1
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	9.8
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	7
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	5.4
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	4.1
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.9
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	8
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	12.4
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	1.7
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	4.9
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	16.5
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	5.1
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.1
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.4
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	7.9
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.4
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	10.1
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	7.6
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	4.2
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	2.7
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	44.9
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	8
Wikipedia		lake	reservoir_artificial	water	Switzerland	0.13
Wikipedia		lake	thermal_lake	water	Hungary	1.17
Wikipedia		lake	reservoir	water	Switzerland	1.5
Wikipedia		lake	reservoirartificial	water	Switzerland	2.1
Wikipedia		lake	artificial	water	New_Zealand	7
Schloesser_etal	1996	lake		water	Canada_Michigan	16
Wikipedia		lake	dam	water	New_Hampshire_Maine	11.1
Wikipedia		lake	cooling_pond_for_energy_generation_station_artificial_above-ground	water	Indiana	14
Wikipedia		lake		water	Sweden	17.5
Wikipedia		lake	Artificial	water	Japan	18.25
Wikipedia		lake		water	Switzerland	21
Wikipedia		lake		water	New_Hampshire_Maine	23.7
Wikipedia		lake		water	Maine	34
Wikipedia		hotspring	geothermal_pool	water	New_Zealand	34
Hamilton_Schladow	1995	lake	Artificial_reservoir	water	Australia	35
Wikipedia		lake		water	Sweden	36.5
Wikipedia		lake		water	Oregon	54.75
Wikipedia		lake		water	Ireland	54.75
Wikipedia		lake		water	United_Kingdom	55
Wikipedia		lake		water	Switzerland	58
Wikipedia		lake		water	Netherlands	60
Wikipedia		lake		water	Sweden	73
Wikipedia		lake		water	Canada	160
Wikipedia		lake	glacial_lake	water	United_Kingdom	77
Wikipedia		lake		water	France	90
Wikipedia		lake	eutrophicartificial_reservoir	water	Maine	90
Wikipedia		lake		water	France	90
Wikipedia		lake		water	Sweden	90
Wikipedia		lake		water	United_Kingdom	94.9
Wikipedia		lake		water	Sweden	98.55
Wikipedia		lake	Artificial	water	France	100
Wikipedia		lake		water	Italy	100
Wikipedia		lake		water	Switzerland	100
Wikipedia		lake		water	Switzerland	120
Wikipedia		lake		water	Switzerland	123.3
Wikipedia		lake		water	Canada	123
Wikipedia		lake	Artificial_reservoir	water	Brazil	127.75
Wikipedia		lake		water	New_Hampshire_Maine	136
Wikipedia		lake		water	Sweden	135
Wikipedia		lake		water	Canada	138
Wikipedia		lake		water	United_Kingdom	150
